user_id,expenses (INR),vibe,reviews,instagram_photos,previous_destinations,favorite_activities
vargashaley,3165.03,Beach,"I had a idyllic time in Andaman and Nicobar Islands. The nightlife was picturesque Overall, it was a serene experience.",https://instagram.com/leepaul/post/2475_scenery,"['Puducherry', 'Andaman and Nicobar Islands']","['Nature', 'Nightlife', 'Cultural']"
eric45,2419.83,Relaxation,My visit to Darjeeling was truly calming. The restaurants were rejuvenating Hiking here was a tranquil experience I left feeling completely calming.,https://instagram.com/erin24/post/6476_forest,"['Darjeeling', 'Goa']","['Fine Dining', 'Hiking', 'Nightlife', 'Luxury']"
kpeters,3216.91,Cultural,"My visit to Mysore was truly immersive. The culture was traditional Overall, it was a immersive experience.",https://instagram.com/kleblanc/post/5326_resort,['Mysore'],"['Luxury', 'Cultural', 'Adventure', 'Camping']"
coxcolleen,2115.75,Luxury,The opulent atmosphere of Munnar was unforgettable. The waters were lavish Skiing here was a lavish experience It was a exclusive trip I'll never forget.,https://instagram.com/sanderscharles/post/2032_slope,['Munnar'],"['Swimming', 'Skiing']"
ramirezmaria,3212.73,Luxury,Mysore exceeded my expectations in every exclusive way. The scenery was lavish I left feeling completely indulgent.,https://instagram.com/prestonjason/post/5800_retreat,['Mysore'],"['Photography', 'Adventure', 'Beach', 'Relaxation']"
william37,4324.0,Nightlife,My visit to Delhi was truly lively. The scenery was exciting I left feeling completely energetic.,https://instagram.com/tpalmer/post/1102_tradition,['Delhi'],"['Nature', 'Photography', 'Backwaters', 'Cultural']"
llane,2510.71,Beach,My visit to Goa was truly pristine. The cuisine was idyllic I left feeling completely picturesque.,https://instagram.com/kelly12/post/3768_wellness,"['Andaman and Nicobar Islands', 'Goa', 'Puducherry']","['Relaxation', 'Fine Dining', 'Beach']"
julie43,3968.2,Cultural,I can't wait to return to fascinating Mysore. The snow conditions were fascinating The mountain views were traditional It was a fascinating trip I'll never forget.,https://instagram.com/ochoachristine/post/4078_snow,"['Mysore', 'Delhi']","['Skiing', 'Hiking', 'Fine Dining']"
fordjennifer,3920.98,Luxury,"The indulgent atmosphere of Delhi was unforgettable. The sights were lavish Overall, it was a lavish experience.",https://instagram.com/joneslisa/post/8420_city,"['Mumbai', 'Delhi', 'Manali']","['Relaxation', 'Exploring']"
andersenkaitlyn,3862.62,Luxury,"The indulgent atmosphere of Mysore was unforgettable. The slopes were exclusive Shopping here was a lavish experience Overall, it was a opulent experience.",https://instagram.com/parkbenjamin/post/3232_mountain,"['Mysore', 'Udaipur']","['Skiing', 'Shopping', 'Photography', 'Adventure']"
kelleydale,2113.14,Adventure,The exhilarating atmosphere of Auli was unforgettable. Skiing here was a action-packed experience It was a thrilling trip I'll never forget.,https://instagram.com/philip46/post/7403_premium,['Auli'],"['Skiing', 'Luxury', 'Beach']"
junderwood,2200.28,Budget,I had a value-for-money time in Varanasi. The landscapes were budget-friendly Shopping here was a affordable experience It was a value-for-money trip I'll never forget.,https://instagram.com/frederick13/post/2369_mall,['Varanasi'],"['Photography', 'Shopping']"
pwells,2006.18,Budget,I had a budget-friendly time in Rishikesh. The nightlife was value-for-money The backwaters were budget-friendly It was a affordable trip I'll never forget.,https://instagram.com/barbarabeard/post/4503_houseboat,"['Goa', 'Rishikesh', 'Spiti Valley']","['Nightlife', 'Backwaters', 'Luxury', 'Skiing']"
carolbray,2552.61,Nature,I had a breathtaking time in Kerala. The markets were majestic The lagoons were awe-inspiring It was a majestic trip I'll never forget.,https://instagram.com/igarrett/post/7919_lagoon,['Kerala'],"['Shopping', 'Backwaters']"
lynn36,2296.47,Relaxation,The rejuvenating atmosphere of Manali was unforgettable. The culture was rejuvenating The snow conditions were rejuvenating I left feeling completely soothing.,https://instagram.com/belljoseph/post/3762_festival,"['Shimla', 'Manali', 'Spiti Valley']","['Cultural', 'Skiing', 'Adventure']"
